Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F-020,B/L cliente/taxas/demurrage/fatura,"Como operador, quero gerir cliente, taxas, demurrage e fatura do B/L.","useLocalCharges + BlDemurrageSection consolidam efeitos financeiros e timeline.","B/L ja faturado bloqueia mutacao; container fora bloqueia demurrage; override de free time.","localCharges.test.ts; blDemurrageConfigAtomic.test.ts; guardManualChargesMigration.test.ts","PASS",0,-,"",2026-06-25
F-021,Historico do B/L,"Como operador, quero paginar o historico humanizado do B/L.","bl_timeline pagina 50 eventos; Auditoria e o subconjunto justificado.","Sem eventos; paginacao limite; eventos globais excluidos.","blDetalheHelpers.test.ts; blTabs.test.tsx","PASS",0,-,"Contrato SQL do bl_timeline.",2026-06-25
F-022,Revisao operacional,"Como operador, quero corrigir pendencias e recomputar o gate canonico.","useReview + save_bl_review recomputa gate; atualiza fila, B/Ls, clientes e auditoria.","Pendencia residual; matching de cliente incerto; gate reaberto.","Revisao.test.tsx; revisaoHelpers.test.ts; reviewGateHardeningMigration.test.ts","PASS",0,-,"",2026-06-25
F-023,Revisao -> calculo e faturamento,"Como operador, quero calcular e faturar apos zerar pendencias.","calculate_bl_local_charges + mark_bl_ready_and_create_invoice so emitem com lista canonica vazia.","Lista canonica nao vazia bloqueia; auto-emissao best-effort; falha reverte.","reviewBillingAutomation.test.ts; markBlsReadyAndCreateInvoiceMigration.test.ts","PASS",0,-,"",2026-06-25
F-024,Clientes (CRUD/import/export),"Como operador, quero filtrar, criar, importar, exportar e excluir clientes.","useCustomers + servicos; atualiza base, vinculos retroativos e caches.","Duplicidade de documento; delete com dependencia; import parcial.","customers.test.ts; customers.delete.test.ts; customerCreateAtomic.test.ts; browser write (iteracao 6)","PASS",0,-,"Criar cliente validado em runtime de browser (persistiu no banco).",2026-06-25
F-025,Cliente ficha (contatos/conta Portal),"Como operador, quero editar ficha, contatos e conta do Portal.","Ativacao exige auth_user_id; provision-portal-user; invalida ficha/listas.","Ativar sem auth_user_id bloqueado; reset de usuario; email duplicado.","ClienteFicha.behavior.test.tsx; customers.test.ts; customerUpdateAuditAtomic.test.ts","PASS",0,-,"Edge function mockada, nao executada.",2026-06-25
F-026,Taxas locais (tabelas/itens/overrides),"Como admin, quero gerir tabelas, itens e overrides de taxa.","Servicos de charge table/rate; invalida queryKeys.charges.*.","Vigencia de tabela como gate; override por cliente; item invalido.","TaxasLocais.test.ts; taxasLocaisHelpers.test.ts; chargeRateService.test.ts; localCharges.test.ts","PASS",0,-,"",2026-06-25
F-027,Faturamento (emitir individual/consolidada),"Como admin, quero validar B/Ls e emitir invoice individual ou consolidada.","invoice/ledger RPCs; atualiza invoices, recebiveis, B/Ls, clientes e alertas.","Cliente com invoice vencida bloqueia (trigger); vinculo ativo duplicado; consolidada vazia.","Faturamento.behavior.test.tsx; Faturamento.test.ts; faturamentoInvoiceStatus.test.ts; billing.test.ts; billingLedger.test.ts","PASS",0,-,"",2026-06-25
F-028,Faturamento (pagamento/cancelar/restituir),"Como admin, quero registrar pagamento, cancelar, restituir e imprimir invoice.","payments/settlements/refunds e lifecycle RPCs mantem saldo coerente.","Pagamento parcial/total; cancelar com pagamento bloqueado; excedente gera restituicao.","billingCancelInvoice.test.ts; ledgerPartialPaymentsMigration.test.ts; pixExactAndRefundsMigration.test.ts; settleInvoiceRefundsMigration.test.ts; faturamentoLedgerPayment.test.ts; browser write (iteracao 6)","PASS",0,-,"Cancelar invoice validado em runtime de browser (status+auditoria); baixa via ledger exige seed com invoice_receivable_links.",2026-06-25
F-029,Alertas,"Como operador, quero filtrar, reconhecer e fechar alertas.","useOperationalAlerts/alerts.ts; invalida alerts, op-count e dashboard.","Alerta de overdue/billing/disputa; fechar ja fechado; filtro vazio.","alertsTransitions.test.ts; browser write (iteracao 7)","PASS",0,-,"Reconhecer e fechar validados em runtime de browser.",2026-06-25
F-030,Relatorios (consulta/export XLSX),"Como operador, quero consultar e exportar relatorios em XLSX.","reports.ts/exports.ts; caches por aba/filtro; export gera arquivo local.","Conjunto vazio; filtro de data invertido; arquivo grande.","Relatorios.behavior.test.tsx; reports.test.ts; exports.test.ts","PASS",0,-,"",2026-06-25
F-031,Demurrage (containers e invoices),"Como operador, quero acompanhar containers e gerir invoices de demurrage.","Calculo por datas/tarifas (calculateDemurrage); recalculo diario da PTAX (ADR 0014) com banner e Informar PTAX.","Free time override > fim de P1 (DEF-001); container ainda fora; PTAX stale.","calculateDemurrage.test.ts; demurrageService.test.ts; createDemurrageInvoiceAtomic.test.ts; demurrageKpis.test.ts; fetchROE.test.ts","PASS",1,High,"DEF-001 corrigido em 2026-06-25: P2 nao conta dias dentro do free time override.",2026-06-25
F-032,Reconciliacao PIX (importar/confirmar),"Como admin, quero importar extrato, classificar e confirmar PIX.","confirm_unified_pix_matches concilia local (TXID/valor) e demurrage em lote atomico.","TXID ausente/vazio; valor ambiguo (decisao humana); erro aborta lote.","reconciliacao.test.ts; reconciliationInvoiceType.test.ts","PASS",0,-,"pix.ts protegido.",2026-06-25
F-033,Reconciliacao PIX (historico/reverter),"Como admin, quero consultar historico e reverter pagamento.","RPCs de reversao com justificativa obrigatoria; reconstitui estados e limpa efeitos PIX.","Justificativa ausente bloqueia; reversao de consolidada; paginacao.","reconciliationHistoryPagination.test.ts; reversalJustificationMigration.test.ts; reversalBlsFinancialStatusMigration.test.ts","PASS",0,-,"",2026-06-25
F-034,Granito (import/calcular/faturar),"Como operador, quero importar COSCO, calcular e faturar Granito.","graniteImport/graniteCharges + billing; persistencia propria integra invoice downstream.","Planilha COSCO malformada; rate vigente; invoice ativa duplicada (trigger).","Granite.behavior.test.tsx; graniteImportAtomic.test.ts; graniteCharges.test.ts; graniteBillingWorkflow.test.ts; graniteInvoiceClassification.test.ts","PASS",0,-,"",2026-06-25
F-035,Granito taxas,"Como admin, quero gerir tarifas de Granito.","CRUD/ativacao afeta calculos futuros.","Tarifa inativa; vigencia; rate ausente.","graniteCharges.test.ts; validacaoGraniteWorkflowContract.test.ts","PASS",0,-,"Runtime nao executado.",2026-06-25
F-036,Demurrage taxas,"Como admin, quero gerir tarifas de demurrage.","demurrageRates.ts/demurrage_rates; CRUD/ativacao atualiza calculo futuro.","active flag desativa imediato; valid_to expira agendado; sem rate dinamica usa fallback; criar sem Valido de (default do banco).","DemurrageRates.behavior.test.tsx; demurrageService.test.ts; demurrageRatesHelpers.test.ts; browser write (iteracao 7)","PASS",1,Medium,"DEF-003 corrigido (2026-06-25): criar sem Valido de nao envia valid_from nulo. CRUD validado em runtime de browser.",2026-06-25
F-037,Embarque de vazios,"Como operador, quero importar bookings e filtrar vazios de exportacao.","vaziosImport; importacao limitada por arquivo e viagem.","Arquivo acima do limite; viagem inexistente; duplicidade de booking.","vaziosImportsAtomic.test.ts; uploadLimits.test.ts","PASS",0,-,"",2026-06-25
F-038,Vazios de importacao,"Como operador, quero importar planilha/Baplie e remover manifesto.","vaziosImportacaoImport; reimport respeita manifesto e origem; delete por viagem.","Reimport substitui; delete admin-only; cascade de containers.","vaziosImportacaoImport.test.ts; VaziosRedirect.test.tsx","PASS",0,-,"",2026-06-25
F-039,Baplie EDI,"Como operador, quero importar staging e resolver divergencias.","Parser/import/reconciliation; substitui staging da viagem sem sobrescrever campos comerciais.","Divergencia de existencia; divergencia de atributo (escolha de fonte); reimport substitui staging.","baplieReconciliation.test.ts; baplieInvalidation.test.ts","PASS",0,-,"",2026-06-25
F-040,Chegadas e saidas,"Como operador, quero gerir, importar, ordenar e arquivar programacao.","useVesselSchedules; vessel_schedules/ended_vessels; realtime invalida widget do Portal.","Arquivar escala (snapshot ended_vessels); ordenacao; realtime.","ChegadasSaidas.behavior.test.tsx; vesselSchedules.test.ts; vesselScheduleAdmin.test.ts; vesselScheduleImport.test.ts; browser runtime (iteracao 5)","PASS",0,-,"Runtime de browser validado contra dados reais (iteracao 5).",2026-06-25
F-041,Admin usuarios,"Como admin, quero alterar role/ativo e consultar auditoria/metricas.","adminUsers.ts sob ProtectedRoute adminOnly; invalida usuarios, auditoria e metricas.","Autoelevacao bloqueada (trigger); desativar a si mesmo; metricas vazias.","AdminUsuarios.behavior.test.tsx; adminObservability.test.ts; browser runtime (iteracao 5)","PASS",0,-,"Runtime de browser validado contra dados reais (iteracao 5).",2026-06-25
F-042,Redirecionamentos de rota,"Como usuario, quero que rotas legadas e desconhecidas redirecionem corretamente.","Navigate replace para /painel, /demurrage, /reconciliacao, /embarquevazios conforme rota.","Rota desconhecida (*); query string preservada; replace evita historico extra.","VaziosRedirect.test.tsx; cargaSoltaRoute.test.ts; browser smoke (iteracao 3)","PASS",0,-,"Guard de rota e fallback validados em runtime de browser.",2026-06-25
F-043,Edge function provision-portal-user,"Como admin, quero provisionar usuario do Portal de forma segura.","verify_jwt; valida perfil ativo e role admin; CORS allowlist; rate limit 20/h; Auth Admin createUser/updateUserById.","401/403/429/400/404/409/500; origem rejeitada; frontend exige auth_user_id antes de ativar.","customers.test.ts (mock de ordem/falha)","PASS",0,-,"Edge nao executada em teste.",2026-06-25
F-044,Edge function notify-invoice-issued,"Como sistema, quero (futuramente) notificar cliente por email na emissao.","Bearer timing-safe = service role; le invoices/customers/contacts; envia via Resend.","Inativa em producao (sem webhook/RESEND_API_KEY); notificacao atual e in-app.","-","WAIVED",0,Low,"Inativa por decisao; notificacao in-app via trg_notify_invoice_issued.",2026-06-25
F-045,Recalculo diario de ROE (PTAX),"Como sistema, quero recalcular o BRL de invoices de demurrage nao pagas a cada PTAX.","recalculate_demurrage_invoices(_manual); markup 1.065; congela no pagamento; grava historico imutavel.","PTAX stale (banner); dia nao util; invoice paga nao recalcula.","fetchROE.test.ts; createDemurrageInvoiceMigration.test.ts","PASS",0,-,"USD fixo na emissao; so BRL flutua.",2026-06-25
